
Epoch 1/15 | LR: 0.001000
--------------------------------------------------
  batch 3800 | loss: 0.4846 | acc: 0.6250
  batch 3850 | loss: 0.6975 | acc: 0.6250
  batch 3900 | loss: 0.8321 | acc: 0.2500
  batch 3950 | loss: 0.8297 | acc: 0.5000
  batch 4000 | loss: 0.5132 | acc: 0.8750
  batch 4050 | loss: 0.6652 | acc: 0.5000
  batch 4100 | loss: 0.4668 | acc: 0.7500
  batch 4150 | loss: 0.3189 | acc: 1.0000
  batch 4200 | loss: 0.6902 | acc: 0.6250
  batch 4250 | loss: 0.7004 | acc: 0.6250
  batch 4300 | loss: 0.5609 | acc: 0.3750
  batch 4350 | loss: 0.5762 | acc: 0.5000
  batch 4400 | loss: 0.4387 | acc: 0.8750
  batch 4450 | loss: 0.9314 | acc: 0.3750
  batch 4500 | loss: 0.3468 | acc: 0.8750
  batch 4550 | loss: 0.5600 | acc: 0.7500
  batch 4600 | loss: 0.7021 | acc: 0.6250
  batch 4650 | loss: 0.5575 | acc: 0.7500
  batch 4700 | loss: 0.5925 | acc: 0.7500
  batch 4750 | loss: 0.6301 | acc: 0.7500
  TRAIN — Loss: 0.6155 | Acc: 0.6481
  VAL   — Loss: 0.5677 | Acc: 0.6623
  ⭐ New best! Saved best.pth (acc=0.6623)

🔓 Unfreezing backbone — full fine-tuning starts

Epoch 3/15 | LR: 0.000100
--------------------------------------------------
  batch 50 | loss: 0.4760 | acc: 0.7500
  batch 100 | loss: 0.4986 | acc: 0.7500
  batch 150 | loss: 0.5263 | acc: 0.6250
  batch 200 | loss: 0.4692 | acc: 0.7500
  batch 250 | loss: 0.5303 | acc: 0.6250
  batch 300 | loss: 0.4292 | acc: 0.7500
  batch 350 | loss: 0.4018 | acc: 0.8750
  batch 400 | loss: 0.4409 | acc: 0.7500
  batch 450 | loss: 0.5571 | acc: 0.7500
  batch 500 | loss: 0.6070 | acc: 0.6250
  batch 550 | loss: 0.6764 | acc: 0.6250
  batch 600 | loss: 0.5397 | acc: 0.6250
  batch 650 | loss: 0.5087 | acc: 0.8750
  batch 700 | loss: 0.3158 | acc: 0.8750
  batch 750 | loss: 0.6037 | acc: 0.6250
  batch 800 | loss: 0.6156 | acc: 0.6250
  batch 850 | loss: 0.3698 | acc: 0.8750
  batch 900 | loss: 0.5166 | acc: 0.7500
  batch 950 | loss: 0.3600 | acc: 0.8750
  batch 1000 | loss: 0.4260 | acc: 0.8750
